method,table,old_result,port_result,status,notes
createCommonElfRecipes,rivendell,chiselIthildin,lotr:moon_chisel,present,
createCommonHighElfRecipes,high_elven,highElvenTorch,lotr:high_elven_torch,present,
createCommonHighElfRecipes,rivendell,highElvenTorch,lotr:high_elven_torch,present,
createCommonHighElfRecipes,high_elven,chandelier/10,lotr:high_elven_chandelier,present,
createCommonHighElfRecipes,rivendell,chandelier/10,lotr:high_elven_chandelier,present,
createCommonHighElfRecipes,high_elven,highElvenBedItem,lotr:high_elven_bed,present,
createCommonHighElfRecipes,rivendell,highElvenBedItem,lotr:high_elven_bed,present,
createCommonHighElfRecipes,high_elven,brick3/2,lotr:high_elven_brick,present,
createCommonHighElfRecipes,rivendell,brick3/2,lotr:high_elven_brick,present,
createCommonHighElfRecipes,high_elven,brick3/3,lotr:mossy_high_elven_brick,present,
createCommonHighElfRecipes,rivendell,brick3/3,lotr:mossy_high_elven_brick,present,
createCommonHighElfRecipes,high_elven,slabSingle5/5,lotr:high_elven_brick_slab,present,
createCommonHighElfRecipes,rivendell,slabSingle5/5,lotr:high_elven_brick_slab,present,
createCommonHighElfRecipes,high_elven,slabSingle5/6,lotr:mossy_high_elven_brick_slab,present,
createCommonHighElfRecipes,rivendell,slabSingle5/6,lotr:mossy_high_elven_brick_slab,present,
createCommonHighElfRecipes,high_elven,slabSingle5/7,lotr:cracked_high_elven_brick_slab,present,
createCommonHighElfRecipes,rivendell,slabSingle5/7,lotr:cracked_high_elven_brick_slab,present,
createCommonHighElfRecipes,high_elven,stairsHighElvenBrick,lotr:high_elven_brick_stairs,present,
createCommonHighElfRecipes,rivendell,stairsHighElvenBrick,lotr:high_elven_brick_stairs,present,
createCommonHighElfRecipes,high_elven,stairsHighElvenBrickMossy,lotr:mossy_high_elven_brick_stairs,present,
createCommonHighElfRecipes,rivendell,stairsHighElvenBrickMossy,lotr:mossy_high_elven_brick_stairs,present,
createCommonHighElfRecipes,high_elven,stairsHighElvenBrickCracked,lotr:cracked_high_elven_brick_stairs,present,
createCommonHighElfRecipes,rivendell,stairsHighElvenBrickCracked,lotr:cracked_high_elven_brick_stairs,present,
createCommonHighElfRecipes,high_elven,wall2/11,lotr:high_elven_brick_wall,present,
createCommonHighElfRecipes,rivendell,wall2/11,lotr:high_elven_brick_wall,present,
createCommonHighElfRecipes,high_elven,wall2/12,lotr:mossy_high_elven_brick_wall,present,
createCommonHighElfRecipes,rivendell,wall2/12,lotr:mossy_high_elven_brick_wall,present,
createCommonHighElfRecipes,high_elven,wall2/13,lotr:cracked_high_elven_brick_wall,present,
createCommonHighElfRecipes,rivendell,wall2/13,lotr:cracked_high_elven_brick_wall,present,
createCommonHighElfRecipes,high_elven,pillar/10,lotr:high_elven_pillar,present,
createCommonHighElfRecipes,rivendell,pillar/10,lotr:high_elven_pillar,present,
createCommonHighElfRecipes,high_elven,slabSingle6/0,lotr:high_elven_pillar_slab,present,
createCommonHighElfRecipes,rivendell,slabSingle6/0,lotr:high_elven_pillar_slab,present,
createCommonHighElfRecipes,high_elven,slabSingle6/1,lotr:cracked_high_elven_pillar_slab,present,
createCommonHighElfRecipes,rivendell,slabSingle6/1,lotr:cracked_high_elven_pillar_slab,present,
createCommonHighElfRecipes,high_elven,brick2/13,lotr:carved_high_elven_brick,present,
createCommonHighElfRecipes,rivendell,brick2/13,lotr:carved_high_elven_brick,present,
createCommonHighElfRecipes,high_elven,elvenForge,lotr:elven_forge,present,
createCommonHighElfRecipes,rivendell,elvenForge,lotr:elven_forge,present,
createCommonHighElfRecipes,high_elven,highElfBars,lotr:high_elf_bars,present,
createCommonHighElfRecipes,rivendell,highElfBars,lotr:high_elf_bars,present,
createCommonHighElfRecipes,high_elven,highElfWoodBars,lotr:high_elf_wood_bars,present,
createCommonHighElfRecipes,rivendell,highElfWoodBars,lotr:high_elf_wood_bars,present,
createCommonHighElfRecipes,high_elven,brick4/8,lotr:high_elven_silver_brick,present,
createCommonHighElfRecipes,rivendell,brick4/8,lotr:high_elven_silver_brick,present,
createCommonHighElfRecipes,high_elven,brick4/11,lotr:high_elven_gold_brick,present,
createCommonHighElfRecipes,rivendell,brick4/11,lotr:high_elven_gold_brick,present,
createCommonHighElfRecipes,high_elven,gateHighElven,lotr:high_elven_gate,present,
createCommonHighElfRecipes,rivendell,gateHighElven,lotr:high_elven_gate,present,
createCommonHobbitRecipes,hobbit,hobbitOven,lotr:hobbit_oven,present,
createCommonHobbitRecipes,bree,hobbitOven,lotr:hobbit_oven,present,
createCommonMorgulAndGundabadRecipes,morgul,chandelier/7,lotr:orc_chandelier,present,
createCommonMorgulAndGundabadRecipes,angmar,chandelier/7,lotr:orc_chandelier,present,
createCommonMorgulAndGundabadRecipes,dol_guldur,chandelier/7,lotr:orc_chandelier,present,
createCommonMorgulAndGundabadRecipes,gundabad,chandelier/7,lotr:orc_chandelier,present,
createCommonMorgulAndGundabadRecipes,morgul,orcSteelBars,lotr:orc_steel_bars,present,
createCommonMorgulAndGundabadRecipes,angmar,orcSteelBars,lotr:orc_steel_bars,present,
createCommonMorgulAndGundabadRecipes,dol_guldur,orcSteelBars,lotr:orc_steel_bars,present,
createCommonMorgulAndGundabadRecipes,gundabad,orcSteelBars,lotr:orc_steel_bars,present,
createCommonMorgulAndGundabadRecipes,morgul,orcBow,lotr:orc_bow,present,
createCommonMorgulAndGundabadRecipes,angmar,orcBow,lotr:orc_bow,present,
createCommonMorgulAndGundabadRecipes,dol_guldur,orcBow,lotr:orc_bow,present,
createCommonMorgulAndGundabadRecipes,gundabad,orcBow,lotr:orc_bow,present,
createCommonMorgulAndGundabadRecipes,morgul,gateOrc,lotr:orc_gate,present,
createCommonMorgulAndGundabadRecipes,angmar,gateOrc,lotr:orc_gate,present,
createCommonMorgulAndGundabadRecipes,dol_guldur,gateOrc,lotr:orc_gate,present,
createCommonMorgulAndGundabadRecipes,gundabad,gateOrc,lotr:orc_gate,present,
createCommonMorgulAndGundabadRecipes,morgul,mechanism,lotr:mechanism,present,
createCommonMorgulAndGundabadRecipes,angmar,mechanism,lotr:mechanism,present,
createCommonMorgulAndGundabadRecipes,dol_guldur,mechanism,lotr:mechanism,present,
createCommonMorgulAndGundabadRecipes,gundabad,mechanism,lotr:mechanism,present,
createCommonMorgulRecipes,morgul,morgulBlade,lotr:morgul_blade,present,
createCommonMorgulRecipes,angmar,morgulBlade,lotr:morgul_blade,present,
createCommonMorgulRecipes,dol_guldur,morgulBlade,lotr:morgul_blade,present,
createCommonMorgulRecipes,morgul,helmetMorgul,lotr:morgul_helmet,present,
createCommonMorgulRecipes,angmar,helmetMorgul,lotr:morgul_helmet,present,
createCommonMorgulRecipes,dol_guldur,helmetMorgul,lotr:morgul_helmet,present,
createCommonMorgulRecipes,morgul,bodyMorgul,lotr:morgul_chestplate,present,
createCommonMorgulRecipes,angmar,bodyMorgul,lotr:morgul_chestplate,present,
createCommonMorgulRecipes,dol_guldur,bodyMorgul,lotr:morgul_chestplate,present,
createCommonMorgulRecipes,morgul,legsMorgul,lotr:morgul_leggings,present,
createCommonMorgulRecipes,angmar,legsMorgul,lotr:morgul_leggings,present,
createCommonMorgulRecipes,dol_guldur,legsMorgul,lotr:morgul_leggings,present,
createCommonMorgulRecipes,morgul,bootsMorgul,lotr:morgul_boots,present,
createCommonMorgulRecipes,angmar,bootsMorgul,lotr:morgul_boots,present,
createCommonMorgulRecipes,dol_guldur,bootsMorgul,lotr:morgul_boots,present,
createCommonMorgulRecipes,morgul,morgulTorch,lotr:morgul_torch,present,
createCommonMorgulRecipes,angmar,morgulTorch,lotr:morgul_torch,present,
createCommonMorgulRecipes,dol_guldur,morgulTorch,lotr:morgul_torch,present,
createCommonMorgulRecipes,morgul,horseArmorMorgul,lotr:morgul_horse_armor,present,
createCommonMorgulRecipes,angmar,horseArmorMorgul,lotr:morgul_horse_armor,present,
createCommonMorgulRecipes,dol_guldur,horseArmorMorgul,lotr:morgul_horse_armor,present,
createCommonMorgulRecipes,morgul,orcBomb,lotr:orc_bomb,present,
createCommonMorgulRecipes,angmar,orcBomb,lotr:orc_bomb,present,
createCommonMorgulRecipes,dol_guldur,orcBomb,lotr:orc_bomb,present,
createCommonMorgulRecipes,morgul,orcBomb/1,lotr:double_strength_orc_bomb,present,
createCommonMorgulRecipes,angmar,orcBomb/1,lotr:double_strength_orc_bomb,present,
createCommonMorgulRecipes,dol_guldur,orcBomb/1,lotr:double_strength_orc_bomb,present,
createCommonMorgulRecipes,morgul,orcBomb/2,lotr:triple_strength_orc_bomb,present,
createCommonMorgulRecipes,angmar,orcBomb/2,lotr:triple_strength_orc_bomb,present,
createCommonMorgulRecipes,dol_guldur,orcBomb/2,lotr:triple_strength_orc_bomb,present,
createCommonMorgulRecipes,morgul,chandelier/12,lotr:morgul_chandelier,present,
createCommonMorgulRecipes,angmar,chandelier/12,lotr:morgul_chandelier,present,
createCommonMorgulRecipes,dol_guldur,chandelier/12,lotr:morgul_chandelier,present,
createCommonNearHaradRecipes,near_harad,brick/15,lotr:near_harad_brick,present,
createCommonNearHaradRecipes,umbar,brick/15,lotr:near_harad_brick,present,
createCommonNearHaradRecipes,gulf,brick/15,lotr:near_harad_brick,present,
createCommonNearHaradRecipes,near_harad,slabSingle4/0,lotr:near_harad_brick_slab,present,
createCommonNearHaradRecipes,umbar,slabSingle4/0,lotr:near_harad_brick_slab,present,
createCommonNearHaradRecipes,gulf,slabSingle4/0,lotr:near_harad_brick_slab,present,
createCommonNearHaradRecipes,near_harad,stairsNearHaradBrick,lotr:near_harad_brick_stairs,present,
createCommonNearHaradRecipes,umbar,stairsNearHaradBrick,lotr:near_harad_brick_stairs,present,
createCommonNearHaradRecipes,gulf,stairsNearHaradBrick,lotr:near_harad_brick_stairs,present,
createCommonNearHaradRecipes,near_harad,wall/15,lotr:near_harad_brick_wall,present,
createCommonNearHaradRecipes,umbar,wall/15,lotr:near_harad_brick_wall,present,
createCommonNearHaradRecipes,gulf,wall/15,lotr:near_harad_brick_wall,present,
createCommonNearHaradRecipes,near_harad,pillar/5,lotr:near_harad_pillar,present,
createCommonNearHaradRecipes,umbar,pillar/5,lotr:near_harad_pillar,present,
createCommonNearHaradRecipes,gulf,pillar/5,lotr:near_harad_pillar,present,
createCommonNearHaradRecipes,near_harad,slabSingle4/7,lotr:near_harad_pillar_slab,present,
createCommonNearHaradRecipes,umbar,slabSingle4/7,lotr:near_harad_pillar_slab,present,
createCommonNearHaradRecipes,gulf,slabSingle4/7,lotr:near_harad_pillar_slab,present,
createCommonNearHaradRecipes,near_harad,brick3/8,lotr:near_harad_carved_brick,present,
createCommonNearHaradRecipes,umbar,brick3/8,lotr:near_harad_carved_brick,present,
createCommonNearHaradRecipes,gulf,brick3/8,lotr:near_harad_carved_brick,present,
createCommonNearHaradRecipes,near_harad,slabSingle7/1,lotr:near_harad_cracked_brick_slab,present,
createCommonNearHaradRecipes,umbar,slabSingle7/1,lotr:near_harad_cracked_brick_slab,present,
createCommonNearHaradRecipes,gulf,slabSingle7/1,lotr:near_harad_cracked_brick_slab,present,
createCommonNearHaradRecipes,near_harad,stairsNearHaradBrickCracked,lotr:near_harad_cracked_brick_stairs,present,
createCommonNearHaradRecipes,umbar,stairsNearHaradBrickCracked,lotr:near_harad_cracked_brick_stairs,present,
createCommonNearHaradRecipes,gulf,stairsNearHaradBrickCracked,lotr:near_harad_cracked_brick_stairs,present,
createCommonNearHaradRecipes,near_harad,wall3/3,lotr:near_harad_cracked_brick_wall,present,
createCommonNearHaradRecipes,umbar,wall3/3,lotr:near_harad_cracked_brick_wall,present,
createCommonNearHaradRecipes,gulf,wall3/3,lotr:near_harad_cracked_brick_wall,present,
createCommonNearHaradRecipes,near_harad,helmetHaradRobes,lotr:harad_turban,present,
createCommonNearHaradRecipes,umbar,helmetHaradRobes,lotr:harad_turban,present,
createCommonNearHaradRecipes,gulf,helmetHaradRobes,lotr:harad_turban,present,
createCommonNearHaradRecipes,near_harad,bodyHaradRobes,lotr:harad_robe,present,
createCommonNearHaradRecipes,umbar,bodyHaradRobes,lotr:harad_robe,present,
createCommonNearHaradRecipes,gulf,bodyHaradRobes,lotr:harad_robe,present,
createCommonNearHaradRecipes,near_harad,legsHaradRobes,lotr:harad_robe_leggings,present,
createCommonNearHaradRecipes,umbar,legsHaradRobes,lotr:harad_robe_leggings,present,
createCommonNearHaradRecipes,gulf,legsHaradRobes,lotr:harad_robe_leggings,present,
createCommonNearHaradRecipes,near_harad,bootsHaradRobes,lotr:harad_robe_shoes,present,
createCommonNearHaradRecipes,umbar,bootsHaradRobes,lotr:harad_robe_shoes,present,
createCommonNearHaradRecipes,gulf,bootsHaradRobes,lotr:harad_robe_shoes,present,
createCommonNearHaradRecipes,near_harad|umbar|gulf,,,manual,"no result: addRecipeTo(commonNearHaradRecipes, new LOTRRecipeHaradRobesDye())"
createCommonNearHaradRecipes,near_harad|umbar|gulf,,,manual,"no result: addRecipeTo(commonNearHaradRecipes, new LOTRRecipeHaradTurbanOrnament())"
createCommonNearHaradRecipes,near_harad,brick3/13,lotr:near_harad_red_brick,present,
createCommonNearHaradRecipes,umbar,brick3/13,lotr:near_harad_red_brick,present,
createCommonNearHaradRecipes,gulf,brick3/13,lotr:near_harad_red_brick,present,
createCommonNearHaradRecipes,near_harad,slabSingle7/2,lotr:near_harad_red_brick_slab,present,
createCommonNearHaradRecipes,umbar,slabSingle7/2,lotr:near_harad_red_brick_slab,present,
createCommonNearHaradRecipes,gulf,slabSingle7/2,lotr:near_harad_red_brick_slab,present,
createCommonNearHaradRecipes,near_harad,stairsNearHaradBrickRed,lotr:near_harad_red_brick_stairs,present,
createCommonNearHaradRecipes,umbar,stairsNearHaradBrickRed,lotr:near_harad_red_brick_stairs,present,
createCommonNearHaradRecipes,gulf,stairsNearHaradBrickRed,lotr:near_harad_red_brick_stairs,present,
createCommonNearHaradRecipes,near_harad,wall3/4,lotr:near_harad_red_brick_wall,present,
createCommonNearHaradRecipes,umbar,wall3/4,lotr:near_harad_red_brick_wall,present,
createCommonNearHaradRecipes,gulf,wall3/4,lotr:near_harad_red_brick_wall,present,
createCommonNearHaradRecipes,near_harad,brick3/15,lotr:near_harad_red_carved_brick,present,
createCommonNearHaradRecipes,umbar,brick3/15,lotr:near_harad_red_carved_brick,present,
createCommonNearHaradRecipes,gulf,brick3/15,lotr:near_harad_red_carved_brick,present,
createCommonNearHaradRecipes,near_harad,slabSingle7/3,lotr:near_harad_red_cracked_brick_slab,present,
createCommonNearHaradRecipes,umbar,slabSingle7/3,lotr:near_harad_red_cracked_brick_slab,present,
createCommonNearHaradRecipes,gulf,slabSingle7/3,lotr:near_harad_red_cracked_brick_slab,present,
createCommonNearHaradRecipes,near_harad,stairsNearHaradBrickRedCracked,lotr:near_harad_red_cracked_brick_stairs,present,
createCommonNearHaradRecipes,umbar,stairsNearHaradBrickRedCracked,lotr:near_harad_red_cracked_brick_stairs,present,
createCommonNearHaradRecipes,gulf,stairsNearHaradBrickRedCracked,lotr:near_harad_red_cracked_brick_stairs,present,
createCommonNearHaradRecipes,near_harad,wall3/5,lotr:near_harad_red_cracked_brick_wall,present,
createCommonNearHaradRecipes,umbar,wall3/5,lotr:near_harad_red_cracked_brick_wall,present,
createCommonNearHaradRecipes,gulf,wall3/5,lotr:near_harad_red_cracked_brick_wall,present,
createCommonNearHaradRecipes,near_harad,pillar/15,lotr:near_harad_red_pillar,present,
createCommonNearHaradRecipes,umbar,pillar/15,lotr:near_harad_red_pillar,present,
createCommonNearHaradRecipes,gulf,pillar/15,lotr:near_harad_red_pillar,present,
createCommonNearHaradRecipes,near_harad,slabSingle7/4,lotr:near_harad_red_pillar_slab,present,
createCommonNearHaradRecipes,umbar,slabSingle7/4,lotr:near_harad_red_pillar_slab,present,
createCommonNearHaradRecipes,gulf,slabSingle7/4,lotr:near_harad_red_pillar_slab,present,
createCommonNearHaradRecipes,near_harad,brick4/7,lotr:near_harad_lapis_brick,present,
createCommonNearHaradRecipes,umbar,brick4/7,lotr:near_harad_lapis_brick,present,
createCommonNearHaradRecipes,gulf,brick4/7,lotr:near_harad_lapis_brick,present,
createCommonNearHaradRecipes,near_harad,gateNearHarad,lotr:near_harad_gate,present,
createCommonNearHaradRecipes,umbar,gateNearHarad,lotr:near_harad_gate,present,
createCommonNearHaradRecipes,gulf,gateNearHarad,lotr:near_harad_gate,present,
createCommonNearHaradRecipes,near_harad,kebabStand,lotr:kebab_stand,present,
createCommonNearHaradRecipes,umbar,kebabStand,lotr:kebab_stand,present,
createCommonNearHaradRecipes,gulf,kebabStand,lotr:kebab_stand,present,
createCommonNearHaradRecipes,near_harad,shishKebab,lotr:shish_kebab,present,
createCommonNearHaradRecipes,umbar,shishKebab,lotr:shish_kebab,present,
createCommonNearHaradRecipes,gulf,shishKebab,lotr:shish_kebab,present,
