group,old_key,old_text
item.lotr,item.lotr.banner.protect,Carries protection data
item.lotr,item.lotr.banner.toggleRepossess,%s-click while placing to keep banner's previous owner
item.lotr,item.lotr.redBook.activeQuests,%d active quests
item.lotr,item.lotr.haradRobes.dyed,Dyed
item.lotr,item.lotr.haradRobes.ornament,Ornament
item.lotr,item.lotr.brandingIron.unnamed,Unnamed %s
item.lotr,item.lotr.generic.stolen,§c§lSTOLEN§r§c from: %s!
item.lotr,item.lotr.generic.stolenWanted,§c%s wants this
item.lotr,item.lotr.generic.squadron,Company: %s
death.attack,death.attack.lotr.frost,%1$s succumbed to the cold
lotr.weaponstat,lotr.weaponstat.meleeDamage,Melee Damage: +%d
lotr.weaponstat,lotr.weaponstat.meleeSpeed,Melee Speed: %d%%
lotr.weaponstat,lotr.weaponstat.reach,Melee Reach: %d%%
lotr.weaponstat,lotr.weaponstat.kb,Knockback: +%d
lotr.weaponstat,lotr.weaponstat.rangedSpeed,Draw Speed: %d%%
lotr.weaponstat,lotr.weaponstat.rangedDamage,Ranged Damage: %d%%
lotr.weaponstat,lotr.weaponstat.range,Range: %d%%
lotr.weaponstat,lotr.weaponstat.poison,Inflicts poison
lotr.weaponstat,lotr.weaponstat.protection,Common Protection: +%d (%d%%)
lotr.enchant,lotr.enchant.baneElf,Elfbane
lotr.enchant,lotr.enchant.baneElf.desc,%s melee damage vs. Elves
lotr.enchant,lotr.enchant.baneElf.earn,"Your %s has claimed the lives of many Elves, and it shall be their bane evermore!"
lotr.enchant,lotr.enchant.baneElf.earnName,"%s's %s has claimed the lives of many Elves, and it shall be their bane evermore!"
lotr.enchant,lotr.enchant.baneOrc,Orcbane
lotr.enchant,lotr.enchant.baneOrc.desc,%s melee damage vs. Orcs
lotr.enchant,lotr.enchant.baneOrc.earn,"Your %s has claimed the lives of many Orcs, and it shall be their bane evermore!"
lotr.enchant,lotr.enchant.baneOrc.earnName,"%s's %s has claimed the lives of many Orcs, and it shall be their bane evermore!"
lotr.enchant,lotr.enchant.baneDwarf,Dwarfbane
lotr.enchant,lotr.enchant.baneDwarf.desc,%s melee damage vs. Dwarves
lotr.enchant,lotr.enchant.baneDwarf.earn,"Your %s has claimed the lives of many Dwarves, and it shall be their bane evermore!"
lotr.enchant,lotr.enchant.baneDwarf.earnName,"%s's %s has claimed the lives of many Dwarves, and it shall be their bane evermore!"
lotr.enchant,lotr.enchant.baneWarg,Wargbane
lotr.enchant,lotr.enchant.baneWarg.desc,%s melee damage vs. Wargs
lotr.enchant,lotr.enchant.baneWarg.earn,"Your %s has claimed the lives of many Wargs, and it shall be their bane evermore!"
lotr.enchant,lotr.enchant.baneWarg.earnName,"%s's %s has claimed the lives of many Wargs, and it shall be their bane evermore!"
lotr.enchant,lotr.enchant.baneTroll,Trollbane
lotr.enchant,lotr.enchant.baneTroll.desc,%s melee damage vs. Trolls
lotr.enchant,lotr.enchant.baneTroll.earn,"Your %s has claimed the lives of many Trolls, and it shall be their bane evermore!"
lotr.enchant,lotr.enchant.baneTroll.earnName,"%s's %s has claimed the lives of many Trolls, and it shall be their bane evermore!"
lotr.enchant,lotr.enchant.baneWraith,Wraithbane
lotr.enchant,lotr.enchant.baneWraith.desc,Slays Marsh Wraiths
lotr.enchant,lotr.enchant.break1,Brittle
lotr.enchant,lotr.enchant.break2,Shoddy
lotr.creativetab,lotr.creativetab.blocks,Middle-earth Blocks
lotr.creativetab,lotr.creativetab.util,Middle-earth Utilities
lotr.creativetab,lotr.creativetab.decorations,Middle-earth Decorations
lotr.creativetab,lotr.creativetab.food,Middle-earth Food and Drink
lotr.creativetab,lotr.creativetab.materials,Middle-earth Materials
lotr.creativetab,lotr.creativetab.misc,Middle-earth Miscellaneous
lotr.creativetab,lotr.creativetab.tools,Middle-earth Tools
lotr.creativetab,lotr.creativetab.combat,Middle-earth Combat
lotr.creativetab,lotr.creativetab.story,Middle-earth Story
lotr.creativetab,lotr.creativetab.spawning,Middle-earth Spawning
container.lotr,container.lotr.crafting.elven,Galadhrim Crafting
container.lotr,container.lotr.crafting.woodElven,Wood-elven Crafting
container.lotr,container.lotr.crafting.nearHarad,Haradric Crafting
container.lotr,container.lotr.crafting.highElven,Lindon Crafting
container.lotr,container.lotr.crafting.blueDwarven,Blue Mountains Crafting
container.lotr,container.lotr.crafting.moredain,Morwaith Crafting
container.lotr,container.lotr.crafting.tauredain,Taurethrim Crafting
container.lotr,container.lotr.crafting.dale,Dalish Crafting
container.lotr,container.lotr.crafting.rhun,Rhûnic Crafting
container.lotr,container.lotr.crafting.umbar,Umbaric Crafting
container.lotr,container.lotr.crafting.gulf,Gulfen Crafting
container.lotr,container.lotr.crafting.bree,Bree-land Crafting
container.lotr,container.lotr.armorStand,Armor Stand
container.lotr,container.lotr.dartTrap,Dart Trap
container.lotr,container.lotr.smith,Smith
container.lotr,container.lotr.smith.cost,Coin Cost: %d
container.lotr,container.lotr.bookshelf,Bookshelf
container.lotr,container.lotr.beacon.lit,The beacon of %s is lit!
container.lotr,container.lotr.beacon.unlit,The beacon of %s is quenched
container.lotr,container.lotr.trade.buy,Buy
container.lotr,container.lotr.trade.sell,Sell
container.lotr,container.lotr.trade.sellOffer,Sell offers
container.lotr,container.lotr.trade.sellPrice,x %d
container.lotr,container.lotr.trade.locked,...
container.lotr,container.lotr.unitTrade.requiresAlignment,Requires +%d alignment
container.lotr,container.lotr.unitTrade.pledge,More...
container.lotr,container.lotr.unitTrade.squadronBox,Assign company?
container.lotr,container.lotr.coinExchange,Coin Exchange
lotr.miniquest,lotr.miniquest.collect,Collect %d %s
lotr.miniquest,lotr.miniquest.collect.progress,%d of %d given
lotr.miniquest,lotr.miniquest.kill,Slay %d %s
lotr.miniquest,lotr.miniquest.kill.progress,%d of %d slain
lotr.miniquest,lotr.miniquest.retrieve1,Retrieve the lost %s
lotr.miniquest,lotr.miniquest.retrieveMany,Retrieve the lost %d %s
lotr.miniquest,lotr.miniquest.retrieve.progress,%d of %d given
lotr.miniquest,lotr.miniquest.bounty,Find and slay %s
lotr.miniquest,lotr.miniquest.bounty.progress.notSlain,Not yet slain
lotr.miniquest,lotr.miniquest.bounty.progress.slain,Slain
lotr.miniquest,lotr.miniquest.bounty.claimed,The bounty on %s was claimed by another. The quest has failed.
lotr.miniquest,lotr.miniquest.bounty.claimed.short,Bounty claimed by another
lotr.miniquest,lotr.miniquest.bounty.killedBy,"My target, %s, has defeated me! Curses!"
lotr.miniquest,lotr.miniquest.bounty.killedBy.short,Killed by target
lotr.miniquest,lotr.miniquest.pickpocket,Pickpocket %d %s and deliver the stolen goods
lotr.miniquest,lotr.miniquest.pickpocket.progress,%d of %d delivered
lotr.miniquest,lotr.miniquest.progressShort,%d / %d
lotr.miniquest,lotr.miniquest.welcome.speak,Speak with the Grey Wanderer
lotr.miniquest,lotr.miniquest.welcome.book,Open the Red Book
lotr.miniquest,lotr.miniquest.welcome.map,Press '%s' to open the map
lotr.miniquest,lotr.miniquest.welcome.align,Use '%s' and '%s' to cycle alignment factions
lotr.miniquest,lotr.miniquest.welcome.alignRegions,Use '%s' and '%s' to cycle alignment regions
lotr.miniquest,lotr.miniquest.welcome.factions,Press '%s' to open the factions guide
lotr.gui,lotr.gui.miniquestOffer.accept,Accept
lotr.gui,lotr.gui.miniquestOffer.decline,Decline
lotr.gui,lotr.gui.redBook.page.miniquests,Mini-Quests
lotr.gui,lotr.gui.redBook.mq.viewActive,Active
lotr.gui,lotr.gui.redBook.mq.viewComplete,Completed
lotr.gui,lotr.gui.redBook.mq.numActive,Active Mini-Quests: %d
lotr.gui,lotr.gui.redBook.mq.numComplete,Completed Mini-Quests: %d
lotr.gui,lotr.gui.redBook.mq.dead,Quest giver has died
lotr.gui,lotr.gui.redBook.mq.movedOn,Quest giver has moved on
lotr.gui,lotr.gui.redBook.mq.tracking,Tracking progress!
lotr.gui,lotr.gui.redBook.mq.complete,Completed
lotr.gui,lotr.gui.redBook.mq.delete,Are you sure you want to abandon this mini-quest?
lotr.gui,lotr.gui.redBook.mq.deleteYes,Abandon
lotr.gui,lotr.gui.redBook.mq.deleteNo,Cancel
lotr.gui,lotr.gui.redBook.mq.deleteCmp,Are you sure you want to remove this completed mini-quest record?
lotr.gui,lotr.gui.redBook.mq.deleteCmpYes,Remove
lotr.gui,lotr.gui.redBook.mq.deleteCmpNo,Cancel
lotr.gui,lotr.gui.redBook.mq.diary.quote,"""%s"""
lotr.gui,lotr.gui.redBook.mq.diary.asked,%s has asked me to: %s.
lotr.gui,lotr.gui.redBook.mq.diary.progress,%s.
lotr.gui,lotr.gui.redBook.mq.diary.willHire,"If I fulfil this quest, %s will pledge service to me."
lotr.gui,lotr.gui.redBook.mq.diary.complete,Quest completed!
lotr.gui,lotr.gui.redBook.mq.diary.reward,%s rewarded me with:
lotr.gui,lotr.gui.redBook.mq.diary.reward.align,• %1$s %2$s alignment
lotr.gui,lotr.gui.redBook.mq.diary.reward.coins,• %d coins
lotr.gui,lotr.gui.redBook.mq.diary.reward.item,• %2$d %1$s
lotr.gui,lotr.gui.redBook.mq.diary.reward.book,"• ""%s"""
lotr.gui,lotr.gui.redBook.mq.diary.reward.hired,%s pledged service to me as a result of my deeds.
lotr.gui,lotr.gui.redBook.mq.diary.dead,%s has since died. The quest has failed.
lotr.gui,lotr.gui.redBook.mq.diary.movedOn,%s has since moved on. The quest has failed.
lotr.date,lotr.date.shire,S.R.
lotr.date,lotr.date.shire.long,Shire Reckoning
lotr.date,lotr.date.shire.day.sterday,Sterday
lotr.date,lotr.date.shire.day.sunday,Sunday
lotr.date,lotr.date.shire.day.monday,Monday
lotr.date,lotr.date.shire.day.trewsday,Trewsday
lotr.date,lotr.date.shire.day.hevensday,Hevensday
lotr.date,lotr.date.shire.day.mersday,Mersday
lotr.date,lotr.date.shire.day.highday,Highday
lotr.date,lotr.date.shire.month.yule2,2 Yule
lotr.date,lotr.date.shire.month.afteryule,Afteryule
lotr.date,lotr.date.shire.month.solmath,Solmath
lotr.date,lotr.date.shire.month.rethe,Rethe
lotr.date,lotr.date.shire.month.astron,Astron
lotr.date,lotr.date.shire.month.thrimidge,Thrimidge
lotr.date,lotr.date.shire.month.forelithe,Forelithe
lotr.date,lotr.date.shire.month.lithe1,1 Lithe
lotr.date,lotr.date.shire.month.midyearsday,Mid-year's Day
lotr.date,lotr.date.shire.month.overlithe,Overlithe
lotr.date,lotr.date.shire.month.lithe2,2 Lithe
lotr.date,lotr.date.shire.month.afterlithe,Afterlithe
lotr.date,lotr.date.shire.month.wedmath,Wedmath
lotr.date,lotr.date.shire.month.halimath,Halimath
lotr.date,lotr.date.shire.month.winterfilth,Winterfilth
lotr.date,lotr.date.shire.month.blotmath,Blotmath
lotr.date,lotr.date.shire.month.foreyule,Foreyule
lotr.date,lotr.date.shire.month.yule1,1 Yule
lotr.gui,lotr.gui.menu,%s Menu
lotr.gui,lotr.gui.menuButton,Menu
lotr.gui,lotr.gui.map,Map
lotr.gui,lotr.gui.achievements,Achievements
lotr.gui,lotr.gui.fellowships,Fellowships
lotr.gui,lotr.gui.titles,Titles
lotr.gui,lotr.gui.shields,Shields
lotr.gui,lotr.gui.options,Options
lotr.gui,lotr.gui.time.hours,%dh
lotr.gui,lotr.gui.time.minutes,%dm
lotr.gui,lotr.gui.time.seconds,%ds
lotr.gui,lotr.gui.time.format.hms,%s %s %s
lotr.gui,lotr.gui.time.format.s,%s
lotr.gui,lotr.gui.map.title,Middle-earth Map
lotr.gui,lotr.gui.map.coords,"x: %d, z: %d"
lotr.gui,lotr.gui.map.coordsY,"x: %d, y: %d, z: %d"
lotr.gui,lotr.gui.map.locked.enemy,This waypoint is not available for enemy players
lotr.gui,lotr.gui.map.locked.conquerable,(You can unlock it through %s conquest)
lotr.gui,lotr.gui.map.locked.region,Unlock this waypoint by visiting its region
lotr.gui,lotr.gui.map.locked.shared,Unlock this shared waypoint by visting the nearby area
lotr.gui,lotr.gui.map.fastTravel.prompt,Press '%s' to fast travel to the selected waypoint
lotr.gui,lotr.gui.map.fastTravel.moreTime,You can fast travel to the selected waypoint in: %s
lotr.gui,lotr.gui.map.fastTravel.waitTime,(Waypoint wait time: %s. Decreases after each travel here)
lotr.gui,lotr.gui.map.tp,Press '%s' to /tp
lotr.gui,lotr.gui.map.controlZones,Displaying %s areas of influence
lotr.gui,lotr.gui.map.controlZonesDisabled,Areas of influence are disabled in this world!
lotr.gui,lotr.gui.map.controlZoneFull,Full alignment area
lotr.gui,lotr.gui.map.controlZoneReduced,Reduced alignment area
lotr.gui,lotr.gui.map.conquest.title,%s: Conquest Map
lotr.gui,lotr.gui.map.conquest.wait,Gathering conquest records
lotr.gui,lotr.gui.map.conquest.noPledge,You must pledge service to a faction before you can engage in conquest.
lotr.gui,lotr.gui.map.conquest.needRank,"You are pledged to %s, so you can view their conquest, and the conquests of their allies, enemies, and mortal enemies.\n\nTo see all other faction conquests (neutral and friendly), you must reach the rank of %s (%s alignment)."
lotr.gui,lotr.gui.map.conquest.allyBoost,Only aids %s allies
lotr.gui,lotr.gui.map.conquest.noEffect,No effect
lotr.gui,lotr.gui.map.conquest.notif,conquest in this area
lotr.gui,lotr.gui.map.widget.addCWP,Create custom waypoint
lotr.gui,lotr.gui.map.widget.delCWP,Delete custom waypoint
lotr.gui,lotr.gui.map.widget.renameCWP,Rename custom waypoint
lotr.gui,lotr.gui.map.widget.toggleWPs,Toggle waypoints
lotr.gui,lotr.gui.map.widget.toggleCWPs,Toggle custom waypoints
lotr.gui,lotr.gui.map.widget.toggleHiddenSWPs,Toggle hidden shared waypoints
lotr.gui,lotr.gui.map.widget.zoomIn,Zoom in
lotr.gui,lotr.gui.map.widget.zoomOut,Zoom out
lotr.gui,lotr.gui.map.widget.fullScreen,Toggle fullscreen
lotr.gui,lotr.gui.map.widget.sepia,Toggle sepia
lotr.gui,lotr.gui.map.widget.labels,Toggle labels
lotr.gui,lotr.gui.map.widget.shareCWP,Open custom waypoint to Fellowships
lotr.gui,lotr.gui.map.widget.hideSWP,Hide shared waypoint
lotr.gui,lotr.gui.map.widget.unhideSWP,Unhide shared waypoint
lotr.gui,lotr.gui.map.customWaypoint.allUsed.1,You have used all of %d custom waypoints
lotr.gui,lotr.gui.map.customWaypoint.allUsed.2,Earn more Middle-earth achievements or delete existing waypoints if you wish to add more
lotr.gui,lotr.gui.map.customWaypoint.create.1,You have used %d of %d custom waypoints
lotr.gui,lotr.gui.map.customWaypoint.create.2,Additional custom waypoints can be unlocked by earning more Middle-earth achievements
lotr.gui,lotr.gui.map.customWaypoint.create.button,Create New Waypoint
lotr.gui,lotr.gui.map.customWaypoint.createNew.1,Custom waypoint name:
lotr.gui,lotr.gui.map.customWaypoint.createNew.button,Create Waypoint
lotr.gui,lotr.gui.map.customWaypoint.delete.1,Are you sure you want to delete the waypoint %s?
lotr.gui,lotr.gui.map.customWaypoint.delete.button,Delete Waypoint
lotr.gui,lotr.gui.map.customWaypoint.rename.1,Rename %s:
lotr.gui,lotr.gui.map.customWaypoint.rename.button,Rename Waypoint
lotr.gui,lotr.gui.map.customWaypoint.protected.1,%s
lotr.gui,lotr.gui.map.customWaypoint.protected.2,You cannot create a custom waypoint here
lotr.gui,lotr.gui.map.customWaypoint.share.1,Sharing %s with Fellowships will allow other players to use the waypoint after they have visited the nearby area
lotr.gui,lotr.gui.map.customWaypoint.share.button,Share with new Fellowship
lotr.gui,lotr.gui.map.customWaypoint.shareNew.1,Share %s with new Fellowship:
lotr.gui,lotr.gui.map.customWaypoint.shareNew.button,Share with Fellowship
lotr.gui,lotr.gui.map.customWaypoint.shareNew.already,Already shared!
lotr.gui,lotr.gui.factions.title,%s Factions
lotr.gui,lotr.gui.factions.titleOther,Viewing %s's alignments
lotr.gui,lotr.gui.factions.pageOther,%s's alignment
lotr.gui,lotr.gui.factions.alignment,Alignment:
lotr.gui,lotr.gui.factions.alignment.state,(%s)
lotr.gui,lotr.gui.factions.alignment.limits,%s (%s)
lotr.gui,lotr.gui.factions.data.enemiesKilled,Enemies Slain: %d
lotr.gui,lotr.gui.factions.data.trades,Trades Made: %d
lotr.gui,lotr.gui.factions.data.hires,Units Hired: %d
lotr.gui,lotr.gui.factions.data.miniquests,Mini-Quests Completed: %d
lotr.gui,lotr.gui.factions.data.conquest,Conquest Earned: %d
lotr.gui,lotr.gui.factions.data.npcsKilled,NPCs Slain: %d
lotr.gui,lotr.gui.factions.relationHeader,%s:
lotr.gui,lotr.gui.factions.list,• %s
lotr.gui,lotr.gui.factions.rankHeader,Ranks:
lotr.gui,lotr.gui.factions.listRank,• %s (%s)
lotr.gui,lotr.gui.factions.viewMap,View areas of influence on the map
lotr.gui,lotr.gui.factions.pledgeReq,(requires %s alignment)
lotr.gui,lotr.gui.factions.pledgeDesc1,"Pledging service to %s will earn their friendship and grant you many special benefits, including the ability to engage in conquest."
lotr.gui,lotr.gui.factions.pledgeDesc2,"If you choose to make this pledge, you may break it at any time - but doing so will incur a large penalty."
lotr.gui,lotr.gui.factions.pledgeBreakCooldown,"You cannot pledge service to %1$s, because the world has not yet forgotten your broken pledge to %2$s."
lotr.gui,lotr.gui.factions.pledgeEnemies,You cannot pledge service to %s while you maintain good relations with their mortal enemies. (%s)
lotr.gui,lotr.gui.factions.enemies1,%s
lotr.gui,lotr.gui.factions.enemies2,"%s, %s"
lotr.gui,lotr.gui.factions.enemies3,"%s, %s, %s"
lotr.gui,lotr.gui.factions.enemies3+,"%s, %s, %s, and %d more..."
lotr.gui,lotr.gui.factions.pledgeLocked,You cannot earn above %1$s alignment because of your pledge to %2$s
lotr.gui,lotr.gui.factions.warCrimesYes,This faction encourages war crimes (the killing of peaceful enemy civilians)
lotr.gui,lotr.gui.factions.warCrimesNo,This faction does not encourage war crimes (the killing of peaceful enemy civilians)
lotr.gui,lotr.gui.achievements.title,%s Achievements (%d/%d)
lotr.gui,lotr.gui.achievements.category,%s (%d/%d)
lotr.gui,lotr.gui.achievements.hover.name,%s
lotr.gui,lotr.gui.achievements.hover.subtitle,%s Achievement: %s
lotr.gui,lotr.gui.fellowships.title,Middle-earth Fellowships
lotr.gui,lotr.gui.fellowships.leading,Leading Fellowships
lotr.gui,lotr.gui.fellowships.member,Other Fellowships
lotr.gui,lotr.gui.fellowships.create,Create a Fellowship
lotr.gui,lotr.gui.fellowships.createLimit,Earn more Middle-earth achievements to lead more Fellowships
lotr.gui,lotr.gui.fellowships.creationDisabled,Fellowship creation is disabled on this server
lotr.gui,lotr.gui.fellowships.createName,Name your Fellowship:
lotr.gui,lotr.gui.fellowships.nameExists,You already belong to this Fellowship!
lotr.gui,lotr.gui.fellowships.createThis,Create Fellowship
lotr.gui,lotr.gui.fellowships.nameAndPlayers,%s (%d members)
lotr.gui,lotr.gui.fellowships.memberCount,%d members
lotr.gui,lotr.gui.fellowships.invite,Invite a player to the Fellowship
lotr.gui,lotr.gui.fellowships.inviteName,Invite a player to %s:
lotr.gui,lotr.gui.fellowships.playerExists,%s is already in this Fellowship!
lotr.gui,lotr.gui.fellowships.inviteThis,Send Invitation
lotr.gui,lotr.gui.fellowships.invite.maxSize,You cannot invite any more players to %s - it has already reached the maximum size of %d members.
lotr.gui,lotr.gui.fellowships.disband,Disband the Fellowship
lotr.gui,lotr.gui.fellowships.disbandCheck1,Are you sure you want to disband %s?
lotr.gui,lotr.gui.fellowships.disbandCheck2,"If you do, it will be lost forever!"
lotr.gui,lotr.gui.fellowships.disbandCheck3,You may wish to transfer the leadership instead.
lotr.gui,lotr.gui.fellowships.disbandThis,Disband Fellowship
lotr.gui,lotr.gui.fellowships.leave,Leave Fellowship
lotr.gui,lotr.gui.fellowships.leaveCheck1,Are you sure you want to leave %s?
lotr.gui,lotr.gui.fellowships.leaveCheck2,You will not be able to return unless invited.
lotr.gui,lotr.gui.fellowships.leaveThis,Leave Fellowship
lotr.gui,lotr.gui.fellowships.setIcon,Set the Fellowship Icon to your current held item
lotr.gui,lotr.gui.fellowships.removeCheck,Are you sure you want to remove %2$s from %1$s?
lotr.gui,lotr.gui.fellowships.remove,Remove Player
lotr.gui,lotr.gui.fellowships.opCheck1,Are you sure you want to make %2$s a guide of %1$s?
lotr.gui,lotr.gui.fellowships.opCheck2,"They will be able to invite and remove members, and toggle Fellowship settings."
lotr.gui,lotr.gui.fellowships.op,Make Guide
lotr.gui,lotr.gui.fellowships.deopCheck,Are you sure you want to remove %2$s as a guide of %1$s?
lotr.gui,lotr.gui.fellowships.deop,Remove Guide
lotr.gui,lotr.gui.fellowships.transferCheck1,Are you sure you want to transfer the leadership of %1$s to %2$s?
lotr.gui,lotr.gui.fellowships.transferCheck2,"If you do, you will lose all leadership rights!"
lotr.gui,lotr.gui.fellowships.transfer,Transfer Fellowship
lotr.gui,lotr.gui.fellowships.rename,Rename the Fellowship
lotr.gui,lotr.gui.fellowships.renameName,Enter a new name for %s:
lotr.gui,lotr.gui.fellowships.renameThis,Rename Fellowship
lotr.gui,lotr.gui.fellowships.invites,Fellowship Invitations
lotr.gui,lotr.gui.fellowships.invitesNone,You don't have any Fellowship invitations!
lotr.gui,lotr.gui.fellowships.invitesTooltip,Invitations
lotr.gui,lotr.gui.fellowships.invited.disbanded,The Fellowship %s has been disbanded since you were invited to join.
lotr.gui,lotr.gui.fellowships.invited.maxSize,You cannot join the Fellowship %s - it has already reached the maximum size of %d members.
lotr.gui,lotr.gui.fellowships.invited.notFound,The Fellowship you tried to join does not exist.
lotr.gui,lotr.gui.fellowships.togglePVP,Toggle prevention of PVP among members
lotr.gui,lotr.gui.fellowships.pvp.allow,PVP: Allowed
lotr.gui,lotr.gui.fellowships.pvp.prevent,PVP: Prevented
lotr.gui,lotr.gui.fellowships.toggleHiredFF,Toggle prevention of friendly fire against members' hired units
lotr.gui,lotr.gui.fellowships.hiredFF.allow,Hired unit friendly fire: Allowed
lotr.gui,lotr.gui.fellowships.hiredFF.prevent,Hired unit friendly fire: Prevented
lotr.gui,lotr.gui.fellowships.toggleMapShow,Toggle showing members' map locations
lotr.gui,lotr.gui.fellowships.mapShow.on,Map locations: Shown
lotr.gui,lotr.gui.fellowships.mapShow.off,Map locations: Not shown
lotr.gui,lotr.gui.fellowships.notifyInvite,%s invited you to join a Fellowship
lotr.gui,lotr.gui.fellowships.notifyAccept,%s accepted your Fellowship invitation
lotr.gui,lotr.gui.fellowships.notifyLeave,%s left your Fellowship
lotr.gui,lotr.gui.fellowships.notifyDisband,%s disbanded a Fellowship
lotr.gui,lotr.gui.fellowships.notifyTransfer,%s made you leader of their Fellowship
lotr.gui,lotr.gui.fellowships.notifyRemove,%s removed you from a Fellowship
lotr.gui,lotr.gui.fellowships.notifyOp,%s made you a guide of their Fellowship
lotr.gui,lotr.gui.fellowships.notifyDeop,%s removed you as a guide of their Fellowship
lotr.gui,lotr.gui.titles.title,Middle-earth Titles
lotr.gui,lotr.gui.titles.currentTitle,Current title: %s
lotr.gui,lotr.gui.titles.currentTitle.none,None
lotr.gui,lotr.gui.titles.select,Select Title
lotr.gui,lotr.gui.titles.remove,Remove Title
lotr.titles,lotr.titles.unlock.starter,Starter title
lotr.titles,lotr.titles.unlock.exclusive,Exclusive title!
lotr.titles,lotr.titles.unlock.alignment,Reach %2$s %1$s alignment
lotr.titles,lotr.titles.unlock.alignment.pledge,Pledge to %1$s and reach %2$s alignment
lotr.titles,lotr.titles.unlock.alignment.any,Reach %s alignment with any faction
lotr.title,lotr.title.adventurer,Adventurer
lotr.title,lotr.title.rogue,Rogue
lotr.title,lotr.title.bartender,Bartender
lotr.title,lotr.title.gaffer,Gaffer
lotr.title,lotr.title.scholar,Scholar
lotr.title,lotr.title.minstrel,Minstrel
lotr.title,lotr.title.bard,Bard
lotr.title,lotr.title.artisan,Artisan
lotr.title,lotr.title.wanderer,Wanderer
lotr.title,lotr.title.peacekeeper,Peacekeeper
lotr.title,lotr.title.warmongerer,Warmonger
lotr.title,lotr.title.explorer,Explorer
lotr.title,lotr.title.mercenary,Mercenary
lotr.title,lotr.title.shipwright,Shipwright
lotr.title,lotr.title.marksman,Marksman
lotr.title,lotr.title.merchant,Merchant
lotr.title,lotr.title.farmer,Farmer
lotr.title,lotr.title.burglar,Burglar
lotr.title,lotr.title.ruffian,Ruffian
lotr.title,lotr.title.architect,Architect
lotr.title,lotr.title.miner,Miner
lotr.title,lotr.title.swordsman,Swordsman
lotr.title,lotr.title.scout,Scout
lotr.title,lotr.title.spearman,Spearman
lotr.title,lotr.title.rider,Rider
lotr.title,lotr.title.watcher,Watcher
lotr.title,lotr.title.shepherd,Shepherd
lotr.title,lotr.title.creator,Eru Ilúvatar
lotr.title,lotr.title.creator2,Manwë Súlimo
lotr.title,lotr.title.moderator,Vala
lotr.title,lotr.title.gruk,Polish Noble
lotr.title,lotr.title.boyd,House Catsman
lotr.title,lotr.title.bat,Kebab Sultan
lotr.title,lotr.title.translator,Lambengolmo
lotr.title,lotr.title.patron,Patron
lotr.title,lotr.title.loremaster,Loremaster
lotr.title,lotr.title.builder,Buildmaster
lotr.title,lotr.title.renewedBuilder,Renewed Builder
lotr.title,lotr.title.renewedBuildmaster,Renewed Buildmaster
lotr.title,lotr.title.MULTI_freePeoples,Free Peoples
lotr.title,lotr.title.MULTI_elf,Elf
lotr.title,lotr.title.MULTI_orc,Orc
lotr.title,lotr.title.MULTI_goblin,Goblin
lotr.title,lotr.title.MULTI_dwarf,Dwarf
lotr.title,lotr.title.MULTI_dunedain,Dúnedain
lotr.title,lotr.title.MULTI_moria,Moria
lotr.title,lotr.title.MULTI_easterling,Easterling
lotr.title,lotr.title.MULTI_haradrim,Haradrim
