table,port_result,files
vanilla,lotr:blueberry_juice,src/main/generated/data/lotr/recipe/drink/blueberry_juice/mug.json src/main/resources/data/lotr/recipe/drink/blueberry_juice/ale_horn.json src/main/resources/data/lotr/recipe/drink/blueberry_juice/bottle.json src/main/resources/data/lotr/recipe/drink/blueberry_juice/ceramic_mug.json src/main/resources/data/lotr/recipe/drink/blueberry_juice/copper_goblet.json src/main/resources/data/lotr/recipe/drink/blueberry_juice/golden_ale_horn.json src/main/resources/data/lotr/recipe/drink/blueberry_juice/golden_goblet.json src/main/resources/data/lotr/recipe/drink/blueberry_juice/silver_goblet.json src/main/resources/data/lotr/recipe/drink/blueberry_juice/skull_cup.json src/main/resources/data/lotr/recipe/drink/blueberry_juice/waterskin.json src/main/resources/data/lotr/recipe/drink/blueberry_juice/wine_glass.json src/main/resources/data/lotr/recipe/drink/blueberry_juice/wooden_cup.json
vanilla,lotr:chocolate,src/main/resources/data/lotr/recipe/drink/chocolate/ale_horn.json src/main/resources/data/lotr/recipe/drink/chocolate/bottle.json src/main/resources/data/lotr/recipe/drink/chocolate/ceramic_mug.json src/main/resources/data/lotr/recipe/drink/chocolate/copper_goblet.json src/main/resources/data/lotr/recipe/drink/chocolate/golden_ale_horn.json src/main/resources/data/lotr/recipe/drink/chocolate/golden_goblet.json src/main/resources/data/lotr/recipe/drink/chocolate/mug.json src/main/resources/data/lotr/recipe/drink/chocolate/silver_goblet.json src/main/resources/data/lotr/recipe/drink/chocolate/skull_cup.json src/main/resources/data/lotr/recipe/drink/chocolate/waterskin.json src/main/resources/data/lotr/recipe/drink/chocolate/wine_glass.json src/main/resources/data/lotr/recipe/drink/chocolate/wooden_cup.json
vanilla,lotr:cracked_angmar_brick,src/main/generated/data/lotr/recipe/cracked_angmar_brick_from_smelting.json
vanilla,lotr:cracked_arnor_brick,src/main/generated/data/lotr/recipe/cracked_arnor_brick_from_smelting.json
vanilla,lotr:cracked_arnor_pillar,src/main/generated/data/lotr/recipe/cracked_arnor_pillar_from_smelting.json
vanilla,lotr:cracked_dol_guldur_brick,src/main/generated/data/lotr/recipe/cracked_dol_guldur_brick_from_smelting.json
vanilla,lotr:cracked_dorwinion_brick,src/main/generated/data/lotr/recipe/cracked_dorwinion_brick_from_smelting.json
vanilla,lotr:cracked_dwarven_brick,src/main/generated/data/lotr/recipe/cracked_dwarven_brick_from_smelting.json
vanilla,lotr:cracked_dwarven_pillar,src/main/generated/data/lotr/recipe/cracked_dwarven_pillar_from_smelting.json
vanilla,lotr:cracked_galadhrim_brick,src/main/generated/data/lotr/recipe/cracked_galadhrim_brick_from_smelting.json
vanilla,lotr:cracked_galadhrim_pillar,src/main/generated/data/lotr/recipe/cracked_galadhrim_pillar_from_smelting.json
vanilla,lotr:cracked_gondor_brick,src/main/generated/data/lotr/recipe/cracked_gondor_brick_from_smelting.json
vanilla,lotr:cracked_gondor_cobblebrick,src/main/generated/data/lotr/recipe/cracked_gondor_cobblebrick_from_smelting.json
vanilla,lotr:cracked_high_elven_brick,src/main/generated/data/lotr/recipe/cracked_high_elven_brick_from_smelting.json
vanilla,lotr:cracked_high_elven_pillar,src/main/generated/data/lotr/recipe/cracked_high_elven_pillar_from_smelting.json
vanilla,lotr:cracked_mordor_brick,src/main/generated/data/lotr/recipe/cracked_mordor_brick_from_smelting.json
vanilla,lotr:cracked_morwaith_brick,src/main/generated/data/lotr/recipe/cracked_morwaith_brick_from_smelting.json
vanilla,lotr:cracked_umbar_brick,src/main/generated/data/lotr/recipe/cracked_umbar_brick_from_smelting.json
vanilla,lotr:cracked_wood_elven_brick,src/main/generated/data/lotr/recipe/cracked_wood_elven_brick_from_smelting.json
vanilla,lotr:cracked_wood_elven_pillar,src/main/generated/data/lotr/recipe/cracked_wood_elven_pillar_from_smelting.json
vanilla,lotr:cranberry_juice,src/main/generated/data/lotr/recipe/drink/cranberry_juice/mug.json src/main/resources/data/lotr/recipe/drink/cranberry_juice/ale_horn.json src/main/resources/data/lotr/recipe/drink/cranberry_juice/bottle.json src/main/resources/data/lotr/recipe/drink/cranberry_juice/ceramic_mug.json src/main/resources/data/lotr/recipe/drink/cranberry_juice/copper_goblet.json src/main/resources/data/lotr/recipe/drink/cranberry_juice/golden_ale_horn.json src/main/resources/data/lotr/recipe/drink/cranberry_juice/golden_goblet.json src/main/resources/data/lotr/recipe/drink/cranberry_juice/silver_goblet.json src/main/resources/data/lotr/recipe/drink/cranberry_juice/skull_cup.json src/main/resources/data/lotr/recipe/drink/cranberry_juice/waterskin.json src/main/resources/data/lotr/recipe/drink/cranberry_juice/wine_glass.json src/main/resources/data/lotr/recipe/drink/cranberry_juice/wooden_cup.json
vanilla,lotr:dale_cracked_brick,src/main/generated/data/lotr/recipe/dale_cracked_brick_from_smelting.json
vanilla,lotr:drystone_slab,src/main/generated/data/lotr/recipe/drystone_slab.json
vanilla,lotr:drystone_stairs,src/main/generated/data/lotr/recipe/drystone_stairs.json
vanilla,lotr:drystone_wall,src/main/generated/data/lotr/recipe/drystone_wall.json
vanilla,lotr:elderberry_juice,src/main/generated/data/lotr/recipe/drink/elderberry_juice/mug.json src/main/resources/data/lotr/recipe/drink/elderberry_juice/ale_horn.json src/main/resources/data/lotr/recipe/drink/elderberry_juice/bottle.json src/main/resources/data/lotr/recipe/drink/elderberry_juice/ceramic_mug.json src/main/resources/data/lotr/recipe/drink/elderberry_juice/copper_goblet.json src/main/resources/data/lotr/recipe/drink/elderberry_juice/golden_ale_horn.json src/main/resources/data/lotr/recipe/drink/elderberry_juice/golden_goblet.json src/main/resources/data/lotr/recipe/drink/elderberry_juice/silver_goblet.json src/main/resources/data/lotr/recipe/drink/elderberry_juice/skull_cup.json src/main/resources/data/lotr/recipe/drink/elderberry_juice/waterskin.json src/main/resources/data/lotr/recipe/drink/elderberry_juice/wine_glass.json src/main/resources/data/lotr/recipe/drink/elderberry_juice/wooden_cup.json
vanilla,lotr:fallen_almond_leaves,src/main/generated/data/lotr/recipe/fallen_almond_leaves.json
vanilla,lotr:fallen_apple_leaves,src/main/generated/data/lotr/recipe/fallen_apple_leaves.json
vanilla,lotr:fallen_aspen_leaves,src/main/generated/data/lotr/recipe/fallen_aspen_leaves.json
vanilla,lotr:fallen_banana_leaves,src/main/generated/data/lotr/recipe/fallen_banana_leaves.json
vanilla,lotr:fallen_baobab_leaves,src/main/generated/data/lotr/recipe/fallen_baobab_leaves.json
vanilla,lotr:fallen_beech_leaves,src/main/generated/data/lotr/recipe/fallen_beech_leaves.json
vanilla,lotr:fallen_cedar_leaves,src/main/generated/data/lotr/recipe/fallen_cedar_leaves.json
vanilla,lotr:fallen_cherry_leaves,src/main/generated/data/lotr/recipe/fallen_cherry_leaves.json
vanilla,lotr:fallen_chestnut_leaves,src/main/generated/data/lotr/recipe/fallen_chestnut_leaves.json
vanilla,lotr:fallen_cypress_leaves,src/main/generated/data/lotr/recipe/fallen_cypress_leaves.json
vanilla,lotr:fallen_date_palm_leaves,src/main/generated/data/lotr/recipe/fallen_date_palm_leaves.json
vanilla,lotr:fallen_dragon_leaves,src/main/generated/data/lotr/recipe/fallen_dragon_leaves.json
vanilla,lotr:fallen_fir_leaves,src/main/generated/data/lotr/recipe/fallen_fir_leaves.json
vanilla,lotr:fallen_green_oak_leaves,src/main/generated/data/lotr/recipe/fallen_green_oak_leaves.json
vanilla,lotr:fallen_holly_leaves,src/main/generated/data/lotr/recipe/fallen_holly_leaves.json
vanilla,lotr:fallen_kanuka_leaves,src/main/generated/data/lotr/recipe/fallen_kanuka_leaves.json
vanilla,lotr:fallen_lairelosse_leaves,src/main/generated/data/lotr/recipe/fallen_lairelosse_leaves.json
vanilla,lotr:fallen_larch_leaves,src/main/generated/data/lotr/recipe/fallen_larch_leaves.json
vanilla,lotr:fallen_lebethron_leaves,src/main/generated/data/lotr/recipe/fallen_lebethron_leaves.json
vanilla,lotr:fallen_lemon_leaves,src/main/generated/data/lotr/recipe/fallen_lemon_leaves.json
vanilla,lotr:fallen_lime_leaves,src/main/generated/data/lotr/recipe/fallen_lime_leaves.json
vanilla,lotr:fallen_mahogany_leaves,src/main/generated/data/lotr/recipe/fallen_mahogany_leaves.json
vanilla,lotr:fallen_mallorn_leaves,src/main/generated/data/lotr/recipe/fallen_mallorn_leaves.json
vanilla,lotr:fallen_mango_leaves,src/main/generated/data/lotr/recipe/fallen_mango_leaves.json
vanilla,lotr:fallen_mangrove_leaves,src/main/generated/data/lotr/recipe/fallen_mangrove_leaves.json
vanilla,lotr:fallen_maple_leaves,src/main/generated/data/lotr/recipe/fallen_maple_leaves.json
vanilla,lotr:fallen_mirk_oak_leaves,src/main/generated/data/lotr/recipe/fallen_mirk_oak_leaves.json
vanilla,lotr:fallen_mirk_oak_red_leaves,src/main/generated/data/lotr/recipe/fallen_mirk_oak_red_leaves.json
vanilla,lotr:fallen_olive_leaves,src/main/generated/data/lotr/recipe/fallen_olive_leaves.json
vanilla,lotr:fallen_orange_leaves,src/main/generated/data/lotr/recipe/fallen_orange_leaves.json
vanilla,lotr:fallen_palm_leaves,src/main/generated/data/lotr/recipe/fallen_palm_leaves.json
vanilla,lotr:fallen_pear_leaves,src/main/generated/data/lotr/recipe/fallen_pear_leaves.json
vanilla,lotr:fallen_pine_leaves,src/main/generated/data/lotr/recipe/fallen_pine_leaves.json
vanilla,lotr:fallen_plum_leaves,src/main/generated/data/lotr/recipe/fallen_plum_leaves.json
vanilla,lotr:fallen_pomegranate_leaves,src/main/generated/data/lotr/recipe/fallen_pomegranate_leaves.json
vanilla,lotr:fallen_redwood_leaves,src/main/generated/data/lotr/recipe/fallen_redwood_leaves.json
vanilla,lotr:fallen_shire_pine_leaves,src/main/generated/data/lotr/recipe/fallen_shire_pine_leaves.json
vanilla,lotr:fallen_willow_leaves,src/main/generated/data/lotr/recipe/fallen_willow_leaves.json
vanilla,lotr:green_grape_juice,src/main/generated/data/lotr/recipe/drink/green_grape_juice/mug.json src/main/resources/data/lotr/recipe/drink/green_grape_juice/ale_horn.json src/main/resources/data/lotr/recipe/drink/green_grape_juice/bottle.json src/main/resources/data/lotr/recipe/drink/green_grape_juice/ceramic_mug.json src/main/resources/data/lotr/recipe/drink/green_grape_juice/copper_goblet.json src/main/resources/data/lotr/recipe/drink/green_grape_juice/golden_ale_horn.json src/main/resources/data/lotr/recipe/drink/green_grape_juice/golden_goblet.json src/main/resources/data/lotr/recipe/drink/green_grape_juice/silver_goblet.json src/main/resources/data/lotr/recipe/drink/green_grape_juice/skull_cup.json src/main/resources/data/lotr/recipe/drink/green_grape_juice/waterskin.json src/main/resources/data/lotr/recipe/drink/green_grape_juice/wine_glass.json src/main/resources/data/lotr/recipe/drink/green_grape_juice/wooden_cup.json
vanilla,lotr:lemonade,src/main/resources/data/lotr/recipe/drink/lemonade/ale_horn.json src/main/resources/data/lotr/recipe/drink/lemonade/bottle.json src/main/resources/data/lotr/recipe/drink/lemonade/ceramic_mug.json src/main/resources/data/lotr/recipe/drink/lemonade/copper_goblet.json src/main/resources/data/lotr/recipe/drink/lemonade/golden_ale_horn.json src/main/resources/data/lotr/recipe/drink/lemonade/golden_goblet.json src/main/resources/data/lotr/recipe/drink/lemonade/mug.json src/main/resources/data/lotr/recipe/drink/lemonade/silver_goblet.json src/main/resources/data/lotr/recipe/drink/lemonade/skull_cup.json src/main/resources/data/lotr/recipe/drink/lemonade/waterskin.json src/main/resources/data/lotr/recipe/drink/lemonade/wine_glass.json src/main/resources/data/lotr/recipe/drink/lemonade/wooden_cup.json
vanilla,lotr:mango_juice,src/main/generated/data/lotr/recipe/drink/mango_juice/mug.json src/main/resources/data/lotr/recipe/drink/mango_juice/ale_horn.json src/main/resources/data/lotr/recipe/drink/mango_juice/bottle.json src/main/resources/data/lotr/recipe/drink/mango_juice/ceramic_mug.json src/main/resources/data/lotr/recipe/drink/mango_juice/copper_goblet.json src/main/resources/data/lotr/recipe/drink/mango_juice/golden_ale_horn.json src/main/resources/data/lotr/recipe/drink/mango_juice/golden_goblet.json src/main/resources/data/lotr/recipe/drink/mango_juice/silver_goblet.json src/main/resources/data/lotr/recipe/drink/mango_juice/skull_cup.json src/main/resources/data/lotr/recipe/drink/mango_juice/waterskin.json src/main/resources/data/lotr/recipe/drink/mango_juice/wine_glass.json src/main/resources/data/lotr/recipe/drink/mango_juice/wooden_cup.json
vanilla,lotr:near_harad_cracked_brick,src/main/generated/data/lotr/recipe/near_harad_cracked_brick_from_smelting.json
vanilla,lotr:near_harad_red_cracked_brick,src/main/generated/data/lotr/recipe/near_harad_red_cracked_brick_from_smelting.json
vanilla,lotr:orange_juice,src/main/generated/data/lotr/recipe/drink/orange_juice/mug.json src/main/resources/data/lotr/recipe/drink/orange_juice/ale_horn.json src/main/resources/data/lotr/recipe/drink/orange_juice/bottle.json src/main/resources/data/lotr/recipe/drink/orange_juice/ceramic_mug.json src/main/resources/data/lotr/recipe/drink/orange_juice/copper_goblet.json src/main/resources/data/lotr/recipe/drink/orange_juice/golden_ale_horn.json src/main/resources/data/lotr/recipe/drink/orange_juice/golden_goblet.json src/main/resources/data/lotr/recipe/drink/orange_juice/silver_goblet.json src/main/resources/data/lotr/recipe/drink/orange_juice/skull_cup.json src/main/resources/data/lotr/recipe/drink/orange_juice/waterskin.json src/main/resources/data/lotr/recipe/drink/orange_juice/wine_glass.json src/main/resources/data/lotr/recipe/drink/orange_juice/wooden_cup.json
vanilla,lotr:pomegranate_juice,src/main/generated/data/lotr/recipe/drink/pomegranate_juice/mug.json src/main/resources/data/lotr/recipe/drink/pomegranate_juice/ale_horn.json src/main/resources/data/lotr/recipe/drink/pomegranate_juice/bottle.json src/main/resources/data/lotr/recipe/drink/pomegranate_juice/ceramic_mug.json src/main/resources/data/lotr/recipe/drink/pomegranate_juice/copper_goblet.json src/main/resources/data/lotr/recipe/drink/pomegranate_juice/golden_ale_horn.json src/main/resources/data/lotr/recipe/drink/pomegranate_juice/golden_goblet.json src/main/resources/data/lotr/recipe/drink/pomegranate_juice/silver_goblet.json src/main/resources/data/lotr/recipe/drink/pomegranate_juice/skull_cup.json src/main/resources/data/lotr/recipe/drink/pomegranate_juice/waterskin.json src/main/resources/data/lotr/recipe/drink/pomegranate_juice/wine_glass.json src/main/resources/data/lotr/recipe/drink/pomegranate_juice/wooden_cup.json
vanilla,lotr:raspberry_juice,src/main/generated/data/lotr/recipe/drink/raspberry_juice/mug.json src/main/resources/data/lotr/recipe/drink/raspberry_juice/ale_horn.json src/main/resources/data/lotr/recipe/drink/raspberry_juice/bottle.json src/main/resources/data/lotr/recipe/drink/raspberry_juice/ceramic_mug.json src/main/resources/data/lotr/recipe/drink/raspberry_juice/copper_goblet.json src/main/resources/data/lotr/recipe/drink/raspberry_juice/golden_ale_horn.json src/main/resources/data/lotr/recipe/drink/raspberry_juice/golden_goblet.json src/main/resources/data/lotr/recipe/drink/raspberry_juice/silver_goblet.json src/main/resources/data/lotr/recipe/drink/raspberry_juice/skull_cup.json src/main/resources/data/lotr/recipe/drink/raspberry_juice/waterskin.json src/main/resources/data/lotr/recipe/drink/raspberry_juice/wine_glass.json src/main/resources/data/lotr/recipe/drink/raspberry_juice/wooden_cup.json
vanilla,lotr:red_brick_cracked,src/main/generated/data/lotr/recipe/red_brick_cracked_from_smelting.json
vanilla,lotr:red_grape_juice,src/main/generated/data/lotr/recipe/drink/red_grape_juice/mug.json src/main/resources/data/lotr/recipe/drink/red_grape_juice/ale_horn.json src/main/resources/data/lotr/recipe/drink/red_grape_juice/bottle.json src/main/resources/data/lotr/recipe/drink/red_grape_juice/ceramic_mug.json src/main/resources/data/lotr/recipe/drink/red_grape_juice/copper_goblet.json src/main/resources/data/lotr/recipe/drink/red_grape_juice/golden_ale_horn.json src/main/resources/data/lotr/recipe/drink/red_grape_juice/golden_goblet.json src/main/resources/data/lotr/recipe/drink/red_grape_juice/silver_goblet.json src/main/resources/data/lotr/recipe/drink/red_grape_juice/skull_cup.json src/main/resources/data/lotr/recipe/drink/red_grape_juice/waterskin.json src/main/resources/data/lotr/recipe/drink/red_grape_juice/wine_glass.json src/main/resources/data/lotr/recipe/drink/red_grape_juice/wooden_cup.json
vanilla,lotr:rhun_cracked_brick,src/main/generated/data/lotr/recipe/rhun_cracked_brick_from_smelting.json
vanilla,lotr:tauredain_cracked_brick,src/main/generated/data/lotr/recipe/tauredain_cracked_brick_from_smelting.json
vanilla,lotr:treasure_copper,src/main/generated/data/lotr/recipe/decoration/treasure_copper.json
vanilla,lotr:treasure_copper_carpet,src/main/generated/data/lotr/recipe/decoration/treasure_copper_carpet.json
vanilla,lotr:treasure_gold,src/main/generated/data/lotr/recipe/decoration/treasure_gold.json
vanilla,lotr:treasure_gold_carpet,src/main/generated/data/lotr/recipe/decoration/treasure_gold_carpet.json
vanilla,lotr:treasure_silver,src/main/generated/data/lotr/recipe/decoration/treasure_silver.json
vanilla,lotr:treasure_silver_carpet,src/main/generated/data/lotr/recipe/decoration/treasure_silver_carpet.json
vanilla,minecraft:anvil,src/main/generated/data/lotr/recipe/misc/anvil_from_lotr_anvil.json
vanilla,minecraft:copper_ingot,src/main/generated/data/lotr/recipe/material/copper_ingot.json
vanilla,minecraft:dirt_path,src/main/generated/data/lotr/recipe/dirt_path.json
vanilla,minecraft:gold_ingot,src/main/generated/data/lotr/recipe/misc/gold_ingot.json
vanilla,minecraft:golden_horse_armor,src/main/generated/data/lotr/recipe/combat/golden_horse_armor.json
vanilla,minecraft:iron_horse_armor,src/main/generated/data/lotr/recipe/combat/iron_horse_armor.json
vanilla,minecraft:mossy_stone_bricks,src/main/generated/data/lotr/recipe/mossy_stone_bricks_from_lotr_vines.json
