kind,old_field,old_unloc,old_meta,old_name,new_id,status,match,notes
block,brick6,brick6,0,Gold-trimmed Rhûnic Brick,rhun_gold_brick,ported,name,
block,brick6,brick6,1,Red Rhûnic Brick,rhun_red_brick,ported,name,
block,brick6,brick6,10,Snowy Angmar Brick,angmar_snow_brick,ported,name,
block,brick6,brick6,11,Mossy Dol Guldur Brick,mossy_dol_guldur_brick,ported,name,
block,brick6,brick6,12,Carved Dol Guldur Brick,carved_dol_guldur_brick,ported,name,
block,brick6,brick6,13,Cracked Morwaith Brick,cracked_morwaith_brick,ported,name,
block,brick6,brick6,2,Carved Red Rhûnic Brick,rhun_red_carved_brick,ported,name,
block,brick6,brick6,3,Mossy Dalish Brick,dale_mossy_brick,ported,name,
block,brick6,brick6,4,Cracked Dalish Brick,dale_cracked_brick,ported,name,
block,brick6,brick6,5,Carved Dalish Brick,dale_carved_brick,ported,name,
block,brick6,brick6,6,Umbar Brick,umbar_brick,ported,name,
block,brick6,brick6,7,Cracked Umbar Brick,cracked_umbar_brick,ported,name,
block,brick6,brick6,8,Carved Umbar Brick,carved_umbar_brick,ported,name,
block,brick6,brick6,9,Carved Black Umbar Brick,carved_black_umbar_brick,ported,name,
block,bronzeBars,bronzeBars,,Bronze Bars,bronze_bars,ported,name,
block,butterflyJar,butterflyJar,0,Butterfly Jar,butterfly_jar,ported,name,
block,buttonBlueRock,buttonBlueRock,,Button,blue_rock_button,ported,id,
block,buttonChalk,buttonChalk,,Button,chalk_button,ported,id,
block,buttonGondorRock,buttonGondorRock,,Button,gondor_rock_button,ported,id,
block,buttonMordorRock,buttonMordorRock,,Button,mordor_rock_button,ported,id,
block,buttonRedRock,buttonRedRock,,Button,red_rock_button,ported,id,
block,buttonRohanRock,buttonRohanRock,,Button,rohan_rock_button,ported,id,
block,ceramicMugBlock,ceramicMug,,,ceramic_mug_block,ported,id,
block,ceramicPlateBlock,ceramicPlate,,,stoneware_plate,ported,override,
block,chandelier,chandelier,0,Bronze Chandelier,bronze_chandelier,ported,name,
block,chandelier,chandelier,1,Iron Chandelier,iron_chandelier,ported,name,
block,chandelier,chandelier,10,High Elven Chandelier,high_elven_chandelier,ported,name,
block,chandelier,chandelier,11,Blue Dwarven Chandelier,blue_dwarven_chandelier,ported,name,
block,chandelier,chandelier,12,Morgul Chandelier,morgul_chandelier,ported,name,
block,chandelier,chandelier,13,Blue Mallorn Chandelier,blue_mallorn_chandelier,ported,name,
block,chandelier,chandelier,14,Golden Mallorn Chandelier,mallorn_gold_chandelier,ported,name,
block,chandelier,chandelier,15,Green Mallorn Chandelier,green_mallorn_chandelier,ported,name,
block,chandelier,chandelier,2,Silver Chandelier,silver_chandelier,ported,name,
block,chandelier,chandelier,3,Gold Chandelier,gold_chandelier,ported,name,
block,chandelier,chandelier,4,Mithril Chandelier,mithril_chandelier,ported,name,
block,chandelier,chandelier,5,Silver Mallorn Chandelier,silver_mallorn_chandelier,ported,name,
block,chandelier,chandelier,6,Wood-elven Chandelier,wood_elven_chandelier,ported,name,
block,chandelier,chandelier,7,Orc Chandelier,orc_chandelier,ported,name,
block,chandelier,chandelier,8,Dwarven Chandelier,dwarven_chandelier,ported,name,
block,chandelier,chandelier,9,Uruk Chandelier,uruk_chandelier,ported,name,
block,cherryPie,cherryPie,,,cherry_pie,ported,id,
block,chestAncientHarad,chestAncientHarad,,Ancient Haradric Chest,ancient_haradric_chest,ported,name,
block,chestBasket,chestBasket,,Reed Basket,reed_basket,ported,name,
block,chestLebethron,chestLebethron,,Lebethron Casket,lebethron_casket,ported,name,
block,chestMallorn,chestMallorn,,Mallorn Box,mallorn_box,ported,name,
block,chestStone,chestStone,,Stone Chest,stone_chest,ported,name,
block,clayTile,clayTile,,Clay Tiling,clay_tile,ported,name,
block,clayTileDyed,clayTileDyed,0,White Clay Tiling,clay_tile_dyed_white,ported,name,
block,clayTileDyed,clayTileDyed,1,Orange Clay Tiling,clay_tile_dyed_orange,ported,name,
block,clayTileDyed,clayTileDyed,10,Purple Clay Tiling,clay_tile_dyed_purple,ported,name,
block,clayTileDyed,clayTileDyed,11,Blue Clay Tiling,clay_tile_dyed_blue,ported,name,
block,clayTileDyed,clayTileDyed,12,Brown Clay Tiling,clay_tile_dyed_brown,ported,name,
block,clayTileDyed,clayTileDyed,13,Green Clay Tiling,clay_tile_dyed_green,ported,name,
block,clayTileDyed,clayTileDyed,14,Red Clay Tiling,clay_tile_dyed_red,ported,name,
block,clayTileDyed,clayTileDyed,15,Black Clay Tiling,clay_tile_dyed_black,ported,name,
block,clayTileDyed,clayTileDyed,2,Magenta Clay Tiling,clay_tile_dyed_magenta,ported,name,
block,clayTileDyed,clayTileDyed,3,Light Blue Clay Tiling,clay_tile_dyed_light_blue,ported,name,
block,clayTileDyed,clayTileDyed,4,Yellow Clay Tiling,clay_tile_dyed_yellow,ported,name,
block,clayTileDyed,clayTileDyed,5,Lime Clay Tiling,clay_tile_dyed_lime,ported,name,
block,clayTileDyed,clayTileDyed,6,Pink Clay Tiling,clay_tile_dyed_pink,ported,name,
block,clayTileDyed,clayTileDyed,7,Gray Clay Tiling,clay_tile_dyed_gray,ported,name,
block,clayTileDyed,clayTileDyed,8,Light Gray Clay Tiling,clay_tile_dyed_silver,ported,name,
block,clayTileDyed,clayTileDyed,9,Cyan Clay Tiling,clay_tile_dyed_cyan,ported,name,
block,clover,clover,0,Clover,clover,ported,name,
block,clover,clover,1,Four-leaf Clover,four_leaf_clover,ported,name,
block,cobblebrick,cobblebrick,0,Drystone,drystone,ported,name,
block,commandTable,commandTable,,Table of Command,table_of_command,ported,name,
block,coralReef,coralReef,,Coral Reef,,missing,override,worldgen coral reef block; not the gem coral_block
block,cornStalk,cornStalk,,Corn Stalks,corn_stalk,ported,name,
block,corruptMallorn,corruptMallorn,,Corrupt Mallorn Sapling,corrupt_mallorn,ported,name,
block,daleTable,daleCraftingTable,,Dalish Crafting Table,dale_crafting_table,ported,name,
block,dalishPastry,dalishPastry,,,dalish_pastry,ported,id,
block,dateBlock,date,,,date_block,ported,id,
block,daub,daub,,Wattle and Daub,daub,ported,name,
block,deadPlant,deadMarshPlant,,Dead Marsh Plant,dead_marsh_plant,ported,name,
block,dirtPath,dirtPath,0,Dirt Path,,vanilla,override,user confirmed vanilla duplicate
block,dirtPath,dirtPath,1,Jungle Mud Path,dirt_path_mud,ported,name,
block,dolAmrothTable,dolAmrothCraftingTable,,Dol Amroth Crafting Table,dol_amroth_crafting_table,ported,name,
block,dolGuldurTable,dolGuldurCraftingTable,,Dol Guldur Crafting Table,dol_guldur_crafting_table,ported,name,
block,doorAcacia,doorAcacia,,Acacia Door,,vanilla,override,user confirmed vanilla duplicate
block,doorAlmond,doorAlmond,,Almond Door,almond_door,ported,name,
block,doorApple,doorApple,,Apple Door,apple_door,ported,name,
block,doorAspen,doorAspen,,Aspen Door,aspen_door,ported,name,
block,doorBanana,doorBanana,,Banana Door,banana_door,ported,name,
block,doorBaobab,doorBaobab,,Baobab Door,baobab_door,ported,name,
block,doorBeech,doorBeech,,Beech Door,beech_door,ported,name,
block,doorBirch,doorBirch,,Birch Door,,vanilla,override,user confirmed vanilla duplicate
block,doorCedar,doorCedar,,Cedar Door,cedar_door,ported,name,
block,doorCharred,doorCharred,,Charred Door,charred_door,ported,name,
block,doorCherry,doorCherry,,Cherry Door,cherry_door,ported,name,
block,doorChestnut,doorChestnut,,Chestnut Door,chestnut_door,ported,name,
block,doorCypress,doorCypress,,Cypress Door,cypress_door,ported,name,
block,doorDarkOak,doorDarkOak,,Dark Oak Door,,vanilla,override,user confirmed vanilla duplicate
block,doorDatePalm,doorDatePalm,,Date Palm Door,date_palm_door,ported,name,
block,doorDragon,doorDragon,,Dragonblood Door,dragon_door,ported,name,
block,doorFir,doorFir,,Fir Door,fir_door,ported,name,
block,doorGreenOak,doorGreenOak,,Green-oak Door,green_oak_door,ported,name,
block,doorHolly,doorHolly,,Holly Door,holly_door,ported,name,
block,doorJungle,doorJungle,,Jungle Door,,vanilla,override,user confirmed vanilla duplicate
block,doorKanuka,doorKanuka,,Kanuka Door,kanuka_door,ported,name,
block,doorLairelosse,doorLairelosse,,Lairelossë Door,lairelosse_door,ported,name,
block,doorLarch,doorLarch,,Larch Door,larch_door,ported,name,
block,doorLebethron,doorLebethron,,Lebethron Door,lebethron_door,ported,name,
block,doorLemon,doorLemon,,Lemon Door,lemon_door,ported,name,
block,doorLime,doorLime,,Lime Door,lime_door,ported,name,
block,doorMahogany,doorMahogany,,Mahogany Door,mahogany_door,ported,name,
block,doorMallorn,doorMallorn,,Mallorn Door,mallorn_door,ported,name,
block,doorMango,doorMango,,Mango Door,mango_door,ported,name,
block,doorMangrove,doorMangrove,,Mangrove Door,mangrove_door,ported,name,
block,doorMaple,doorMaple,,Maple Door,maple_door,ported,name,
block,doorMirkOak,doorMirkOak,,Mirk-oak Door,mirk_oak_door,ported,name,
block,doorOlive,doorOlive,,Olive Door,olive_door,ported,name,
block,doorOrange,doorOrange,,Orange Door,orange_door,ported,name,
block,doorPalm,doorPalm,,Palm Door,palm_door,ported,name,
block,doorPear,doorPear,,Pear Door,pear_door,ported,name,
block,doorPine,doorPine,,Pine Door,pine_door,ported,name,
block,doorPlum,doorPlum,,Plum Door,plum_door,ported,name,
block,doorPomegranate,doorPomegranate,,Pomegranate Door,pomegranate_door,ported,name,
block,doorRedwood,doorRedwood,,Redwood Door,redwood_door,ported,name,
block,doorRotten,doorRotten,,Rotten Door,rotten_door,ported,name,
block,doorShirePine,doorShirePine,,Shire Pine Door,shire_pine_door,ported,name,
block,doorSpruce,doorSpruce,,Spruce Door,,vanilla,override,user confirmed vanilla duplicate
block,doorWillow,doorWillow,,Willow Door,willow_door,ported,name,
block,dorwinionTable,dorwinionCraftingTable,,Dorwinion Crafting Table,dorwinion_crafting_table,ported,name,
block,doubleFlower,doubleFlower,0,Black Iris,black_iris,ported,name,
block,doubleFlower,doubleFlower,1,Yellow Iris,yellow_iris,ported,name,
block,doubleFlower,doubleFlower,2,Hibiscus,hibiscus,ported,name,
block,doubleFlower,doubleFlower,3,Flame of Harad,flame_of_harad,ported,name,
block,driedReeds,driedReeds,,Dried Reeds,dried_reeds,ported,name,
block,dunlendingTable,dunlendingCraftingTable,,Dunlending Crafting Table,dunlending_crafting_table,ported,name,
block,dwarfBars,dwarfBars,,Dwarven Steel Bars,dwarf_bars,ported,name,
block,dwarfHerb,dwarfHerb,,Dwarfwort,dwarf_herb,ported,name,
block,dwarvenBed,dwarvenBed,,,dwarven_bed,ported,id,
block,dwarvenTable,dwarvenCraftingTable,,Dwarven Crafting Table,dwarven_crafting_table,ported,name,
block,dwarvenDoor,dwarvenDoor,,Dwarven Door,dwarven_door,ported,name,
block,dwarvenDoorIthildin,dwarvenDoorIthildin,,Ithildin Dwarven Door,ithildin_dwarven_door,ported,name,
block,dwarvenForge,dwarvenForge,,Dwarven Forge,dwarven_forge,ported,name,
block,elanor,elanor,,Elanor,elanor,ported,name,
block,elvenBed,elvenBed,,,galadhrim_bed,ported,override,
block,elvenTable,elvenCraftingTable,,Galadhrim Crafting Table,elven_crafting_table,ported,name,
block,elvenForge,elvenForge,,Elven Forge,elven_forge,ported,name,
block,elvenPortal,elvenPortal,,,,missing,,
block,entJar,entJar,,Ent Jar,ent_jar,ported,name,
block,fallenLeaves,fallenLeaves,,,,missing,,
block,fallenLeavesLOTR,fallenLeavesLOTR,,,,missing,,
block,fallenLeavesLOTR2,fallenLeavesLOTR2,,,,missing,,
block,fallenLeavesLOTR3,fallenLeavesLOTR3,,,,missing,,
block,fangornPlant,fangornPlant,0,Tears of Yavanna,fangorn_plant_green,ported,name,
block,fangornPlant,fangornPlant,1,Fangorn's Beard,fangorn_plant_brown,ported,name,
block,fangornPlant,fangornPlant,2,Huorn Leaf,fangorn_plant_gold,ported,name,
block,fangornPlant,fangornPlant,3,Elfsong,fangorn_plant_yellow,ported,name,
block,fangornPlant,fangornPlant,4,Sunfruit,fangorn_plant_red,ported,name,
block,fangornPlant,fangornPlant,5,Moonflower,fangorn_plant_silver,ported,name,
block,fangornRiverweed,fangornRiverweed,,Riverweed,fangorn_riverweed,ported,name,
block,fence,fence,0,Shire Pine Fence,shire_pine_fence,ported,name,
block,fence,fence,1,Mallorn Fence,mallorn_fence,ported,name,
block,fence,fence,10,Holly Fence,holly_fence,ported,name,
block,fence,fence,11,Banana Fence,banana_fence,ported,name,
block,fence,fence,12,Maple Fence,maple_fence,ported,name,
block,fence,fence,13,Larch Fence,larch_fence,ported,name,
block,fence,fence,14,Date Palm Fence,date_palm_fence,ported,name,
block,fence,fence,15,Mangrove Fence,mangrove_fence,ported,name,
block,fence,fence,2,Mirk-oak Fence,mirk_oak_fence,ported,name,
block,fence,fence,3,Charred Fence,charred_fence,ported,name,
block,fence,fence,4,Apple Fence,apple_fence,ported,name,
block,fence,fence,5,Pear Fence,pear_fence,ported,name,
block,fence,fence,6,Cherry Fence,cherry_fence,ported,name,
block,fence,fence,7,Mango Fence,mango_fence,ported,name,
block,fence,fence,8,Lebethron Fence,lebethron_fence,ported,name,
block,fence,fence,9,Beech Fence,beech_fence,ported,name,
block,fence2,fence2,0,Chestnut Fence,chestnut_fence,ported,name,
block,fence2,fence2,1,Baobab Fence,baobab_fence,ported,name,
block,fence2,fence2,10,Cypress Fence,cypress_fence,ported,name,
block,fence2,fence2,11,Olive Fence,olive_fence,ported,name,
block,fence2,fence2,12,Aspen Fence,aspen_fence,ported,name,
block,fence2,fence2,13,Green-oak Fence,green_oak_fence,ported,name,
block,fence2,fence2,14,Lairelossë Fence,lairelosse_fence,ported,name,
block,fence2,fence2,15,Almond Fence,almond_fence,ported,name,
block,fence2,fence2,2,Cedar Fence,cedar_fence,ported,name,
block,fence2,fence2,3,Fir Fence,fir_fence,ported,name,
block,fence2,fence2,4,Pine Fence,pine_fence,ported,name,
block,fence2,fence2,5,Lemon Fence,lemon_fence,ported,name,
block,fence2,fence2,6,Orange Fence,orange_fence,ported,name,
block,fence2,fence2,7,Lime Fence,lime_fence,ported,name,
block,fence2,fence2,8,Mahogany Fence,mahogany_fence,ported,name,
block,fence2,fence2,9,Willow Fence,willow_fence,ported,name,
block,fence3,fence3,0,Plum Fence,plum_fence,ported,name,
block,fence3,fence3,1,Redwood Fence,redwood_fence,ported,name,
block,fence3,fence3,2,Pomegranate Fence,pomegranate_fence,ported,name,
block,fence3,fence3,3,Palm Fence,palm_fence,ported,name,
block,fence3,fence3,4,Dragonblood Fence,dragon_fence,ported,name,
block,fence3,fence3,5,Kanuka Fence,kanuka_fence,ported,name,
block,fenceGateAcacia,fenceGateAcacia,,Acacia Fence Gate,,vanilla,override,user confirmed vanilla duplicate
block,fenceGateAlmond,fenceGateAlmond,,Almond Fence Gate,almond_fence_gate,ported,name,
block,fenceGateApple,fenceGateApple,,Apple Fence Gate,apple_fence_gate,ported,name,
block,fenceGateAspen,fenceGateAspen,,Aspen Fence Gate,aspen_fence_gate,ported,name,
block,fenceGateBanana,fenceGateBanana,,Banana Fence Gate,banana_fence_gate,ported,name,
block,fenceGateBaobab,fenceGateBaobab,,Baobab Fence Gate,baobab_fence_gate,ported,name,
block,fenceGateBeech,fenceGateBeech,,Beech Fence Gate,beech_fence_gate,ported,name,
block,fenceGateBirch,fenceGateBirch,,Birch Fence Gate,,vanilla,override,user confirmed vanilla duplicate
block,fenceGateCedar,fenceGateCedar,,Cedar Fence Gate,cedar_fence_gate,ported,name,
block,fenceGateCharred,fenceGateCharred,,Charred Fence Gate,charred_fence_gate,ported,name,
block,fenceGateCherry,fenceGateCherry,,Cherry Fence Gate,cherry_fence_gate,ported,name,
block,fenceGateChestnut,fenceGateChestnut,,Chestnut Fence Gate,chestnut_fence_gate,ported,name,
block,fenceGateCypress,fenceGateCypress,,Cypress Fence Gate,cypress_fence_gate,ported,name,
block,fenceGateDarkOak,fenceGateDarkOak,,Dark Oak Fence Gate,,vanilla,override,user confirmed vanilla duplicate
block,fenceGateDatePalm,fenceGateDatePalm,,Date Palm Fence Gate,date_palm_fence_gate,ported,name,
block,fenceGateDragon,fenceGateDragon,,Dragonblood Fence Gate,dragon_fence_gate,ported,name,
block,fenceGateFir,fenceGateFir,,Fir Fence Gate,fir_fence_gate,ported,name,
block,fenceGateGreenOak,fenceGateGreenOak,,Green-oak Fence Gate,green_oak_fence_gate,ported,name,
block,fenceGateHolly,fenceGateHolly,,Holly Fence Gate,holly_fence_gate,ported,name,
block,fenceGateJungle,fenceGateJungle,,Jungle Fence Gate,,vanilla,override,user confirmed vanilla duplicate
block,fenceGateKanuka,fenceGateKanuka,,Kanuka Fence Gate,kanuka_fence_gate,ported,name,
block,fenceGateLairelosse,fenceGateLairelosse,,Lairelossë Fence Gate,lairelosse_fence_gate,ported,name,
block,fenceGateLarch,fenceGateLarch,,Larch Fence Gate,larch_fence_gate,ported,name,
block,fenceGateLebethron,fenceGateLebethron,,Lebethron Fence Gate,lebethron_fence_gate,ported,name,
block,fenceGateLemon,fenceGateLemon,,Lemon Fence Gate,lemon_fence_gate,ported,name,
block,fenceGateLime,fenceGateLime,,Lime Fence Gate,lime_fence_gate,ported,name,
block,fenceGateMahogany,fenceGateMahogany,,Mahogany Fence Gate,mahogany_fence_gate,ported,name,
block,fenceGateMallorn,fenceGateMallorn,,Mallorn Fence Gate,mallorn_fence_gate,ported,name,
block,fenceGateMango,fenceGateMango,,Mango Fence Gate,mango_fence_gate,ported,name,
block,fenceGateMangrove,fenceGateMangrove,,Mangrove Fence Gate,mangrove_fence_gate,ported,name,
